clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
Krankenhaus Schwabach,Schwabach,Anästhesie,Pflegefachkraft (m/w/d) mit Schwerpunkt Anästhesie-Pflege,pflegefachkraft,,"Vergütung und Zusatzleistungen: unter anderem Jahressonderzahlung, Vermögenswirksame Leistungen und Mitarbeitenden Rabatte",unklar,,vollzeit_teilzeit,"Du hast eine abgeschlossene Ausbildung als Pflegefachkraft (m/w/d), idealerweise mit Fachweiterbildung im Bereich Intensiv/Anästhesie | oder der Bereitschaft, diese zu absolvieren. | Du bringst die Flexibilität für Bereitschaftsdienste mit. | Organisationstalent, administrative Erfahrung, Zuverlässigkeit und Einsatzbereitschaft zeichnen dich aus. | Zudem beherrschst du die medizinische Schreib- und Ausdrucksweise sicher.",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.navicare.med/karriere/pflegefachkraft-(m%2Fw%2Fd)-mit-schwerpunkt-an%C3%A4sthesie-pflege
Krankenhaus Schwabach,Schwabach,Station 5,Stationsleitung Station 5 (m/w/d),leitung,,"Vergütung und Zusatzleistungen: unter anderem Jahressonderzahlung, Vermögenswirksame Leistungen und Mitarbeitenden Rabatte",unklar,,vollzeit_teilzeit,"Du hast eine abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege und verfügst über mehrjährige Berufserfahrung. | Du hast eine Weiterbildung zur Leitung einer pflegerischen Einheit oder ein Studium im Bereich Pflegemanagement bzw. Pflegewissenschaft abgeschlossen | – oder bist bereit, diese Qualifikation in naher Zukunft zu erwerben. | Du überzeugst durch Organisationsfähigkeit, Einsatzbereitschaft und Durchsetzungsvermögen. | Du verfügst über Führungsgeschick sowie eine ausgeprägte Sozialkompetenz und Kommunikationsfähigkeit. | Du bringst eine hohe Motivation mit und verstehst es, Mitarbeitende zu begeistern.",verfügst über mehrjährige Berufserfahrung,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.navicare.med/karriere/stationsleitung-station-5-(m%2Fw%2Fd)-
Krankenhaus St. Josef,Schweinfurt,Chirurgie und Innere Medizin,Pflegefachkraft (m/w/d),pflegefachkraft,,Bei uns treten Sie eine unbefristete Stelle mit einer Vergütung nach AVR Caritas an.,,,vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Krankenschwester/Krankenpfleger oder Gesundheits- und Krankenpfleger oder Pflegefachmann/Pflegefachfrau | Eigenverantwortliche und selbstständige Arbeitsweise | Kommunikationsstärke und Empathie gegenüber den Patienten und ihren Angehörigen | Engagement, Kreativität und Freude an der Weiterentwicklung des Pflegedienstes | Fachliche und soziale Kompetenz mit Einfühlungsvermögen und Belastbarkeit",,5,,https://josef.softgarden.io/job/53363539/Pflegefachkraft-m-w-d-?jobDbPVId=253393687&l=de
Krankenhaus St. Josef,Schweinfurt,Interdisziplinäre Intensivstation,Pflegefachkraft (m/w/d) für die Intensivstation,fachweiterbildung,,Bei uns treten Sie eine unbefristete Stelle mit einer Vergütung nach AVR Caritas an.,,,,"eine abgeschlossene Berufsausbildung als Krankenschwester/Krankenpfleger oder Gesundheits- und Krankenpfleger oder Pflegefachmann/Pflegefachfrau | idealerweise Fachweiterbildung Intensivpflege und Anästhesie | Sie behalten auch in schwierigen Situationen den Überblick und arbeiten konstruktiv und kooperativ in einem interdisziplinären Team. | Sie sind motiviert und interessiert, neue pflegerische Kenntnisse und Behandlungskonzepte kennen zu lernen und in die Arbeit zu integrieren",Mit Berufserfahrung,5,,https://josef.softgarden.io/job/45729323/Pflegefachkraft-m-w-d-f%C3%BCr-die-Intensivstation-?jobDbPVId=253393717&l=de
Krankenhaus St. Josef,Schweinfurt,Intensivstation,Pflegefachkraft (m/w/d) für die Intensivstation,pflegefachkraft,,Vergütung nach AVR Caritas,nein,,Unbefristeter Vertrag,abgeschlossene Berufsausbildung als Krankenschwester/Krankenpfleger oder Gesundheits- und Krankenpfleger oder Pflegefachmann/Pflegefachfrau mit Berufserfahrung | Masernschutz,Mit Berufserfahrung; idealerweise Fachweiterbildung Intensivpflege und Anästhesie,4,Zuordnung aus dem vorherigen Lauf übernommen,https://josef.softgarden.io/job/45729323
Krankenhaus St. Josef,Schweinfurt,Palliativstation,Pflegefachkraft (m/w/d) für die Palliativstation,fachweiterbildung,,Bei uns treten Sie eine unbefristete Stelle mit einer Vergütung nach AVR Caritas an.,,,vollzeit_teilzeit,"eine abgeschlossene Berufsausbildung und Berufserfahrung als Kranken-schwester / Krankenpfleger oder als Gesundheits- und Krankenpfleger | die abgeschlossene Weiterbildung Palliative Care für Pflegende nach dem Basiscurriculum der DGP ist von Vorteil, aber nicht zwingend erforderlich | die Identifikation mit den Werten der Palliative Care | eigenverantwortliches und patientenorientiertes Handeln | selbstständige Arbeitsweise und Teamfähigkeit | Kommunikationsstärke und Empathie gegenüber den Patienten und Patientinnen und ihren Angehörigen | Engagement, Kreativität und Freude an der Weiterentwicklung des Pflegedienstes und der Palliative Care | Bereitschaft zur Teilnahme am geltenden Dienstplanmodell",Mit Berufserfahrung,5,,https://josef.softgarden.io/job/63336409/Pflegefachkraft-m-w-d-f%C3%BCr-die-Palliativstation?jobDbPVId=265941464&l=de
Krankenhaus St. Josef,Schweinfurt,Palliativstation,Pflegefachkraft (m/w/d) für die Palliativstation,pflegefachkraft,,Vergütung nach AVR Caritas,nein,,Voll- oder Teilzeit,abgeschlossene Berufsausbildung und Berufserfahrung als Gesundheits- und Krankenpfleger oder Pflegefachmann/Pflegefachfrau,"Berufserfahrung; Weiterbildung Palliative Care (DGP) von Vorteil, nicht zwingend erforderlich",4,Zuordnung aus dem vorherigen Lauf übernommen,https://josef.softgarden.io/job/63336409
Krankenhaus St. Josef,Schweinfurt,OP,Pflegefachkraft für den OP (w/m/d),ota_ata,,Bei uns treten Sie eine unbefristete Stelle mit einer Vergütung nach AVR Caritas an.,,,vollzeit_teilzeit,"eine abgeschlossene Berufsausbildung als Krankenschwester/Krankenpfleger oder als Gesundheits- und Krankenpfleger oder als Pflegefachmann/Pflegefachfrau | Gerne mit Berufserfahrung im OP aber auch Neueinsteiger sind willkommen | Eigenverantwortliche und selbstständige Arbeitsweise | Kommunikationsstärke und Empathie gegenüber den Patienten und ihren Angehörigen | Engagement, Kreativität und Freude an der Weiterentwicklung des Pflegedienstes | Bereitschaft zur Teilnahme am geltenden Dienstplanmodell",Gerne mit Berufserfahrung im OP aber auch Neueinsteiger sind willkommen,5,,https://josef.softgarden.io/job/46311269/Pflegefachkraft-f%C3%BCr-den-OP-w-m-d-?jobDbPVId=282843540&l=de
Krankenhaus St. Josef,Schweinfurt,OP,Pflegefachkraft für den OP (w/m/d),pflegefachkraft,,Vergütung nach AVR Caritas,nein,,Voll- oder Teilzeit,abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger oder Pflegefachmann/Pflegefachfrau oder Operationstechnischer Assistent/Assistentin | Masernschutz,Gerne mit Berufserfahrung im OP aber auch Neueinsteiger sind willkommen,4,Zuordnung aus dem vorherigen Lauf übernommen,https://josef.softgarden.io/job/46311269
Krankenhaus St. Josef,Schweinfurt,Springerpool,Pflegefachkraft für den Springerpool (m/w/d),pflegefachkraft,,Bei uns treten Sie eine unbefristete Stelle mit einer Vergütung nach AVR Caritas an.,,,vollzeit_teilzeit,"eine abgeschlossene Berufsausbildung als Krankenschwester/Krankenpfleger oder als Gesundheits- und Krankenpfleger oder als Pflegefachmann/Pflegefachfrau | die Identifikation mit der Springerpoolphilosophie | eigenverantwortliches und patientenorientiertes Handeln | selbstständige Arbeitsweise und Teamfähigkeit | Motivation, Einsatzfreude und ein freundliches Auftreten runden Ihr Profil ab | die Bereitschaft Dienste am Wochenende je nach Teil-oder Vollzeitbeschäftigung zu übernehmen",,5,,https://josef.softgarden.io/job/27082933/Pflegefachkraft-f%C3%BCr-den-Springerpool-m-w-d-?jobDbPVId=253393677&l=de
Krankenhaus St. Josef,Schweinfurt,Akutgeriatrie,Pflegefachkraft für die Akutgeriatrie (m/w/d),pflegefachkraft,,Bei uns treten Sie eine unbefristete Stelle mit einer Vergütung nach AVR Caritas Bayern an.,,,vollzeit_teilzeit,"eine abgeschlossene Berufsausbildung als Krankenschwester/Krankenpfleger oder als Gesundheits- und Krankenpfleger oder als Pflegefachmann/Pflegefachfrau | eigenverantwortliche und selbstständige Arbeitsweise | Kommunikationsstärke und Empathie gegenüber den Patienten und ihren Angehörigen | Engagement, Kreativität und Freude an der Weiterentwicklung des Pflegedienstes | fachliche und soziale Kompetenz mit Einfühlungsvermögen und Belastbarkeit",,5,,https://josef.softgarden.io/job/22635176/Pflegefachkraft-f%C3%BCr-die-Akutgeriatrie-m-w-d-?jobDbPVId=260860249&l=de
Krankenhaus St. Josef,Schweinfurt,Akutgeriatrie,Pflegefachkraft für die Akutgeriatrie (m/w/d),pflegefachkraft,,Vergütung nach AVR Caritas Bayern,nein,,Voll- oder Teilzeit,abgeschlossene Berufsausbildung als Krankenschwester/Krankenpfleger oder Gesundheits- und Krankenpfleger oder Pflegefachmann/Pflegefachfrau | Masernschutz,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://josef.softgarden.io/job/22635176
Krankenhaus St. Josef,Schweinfurt,,Praxisanleiter (w/m/d) – Teilzeit (freigestellt),leitung,,,,,teilzeit,"Abgeschlossene Ausbildung zur/m Gesundheits- und Krankenpfleger/In mit entsprechender Weiterbildung zum/zur Praxisanleiter/in | Umfangreiche Erfahrung in der Anleitung von Auszubildenden im pflegerischen Bereich | Ausgeprägte pädagogische und organisatorische Fähigkeiten | Motivierte, engagierte Persönlichkeit mit hoher sozialer und kommunikativer Kompetenz, die sich aktiv an der Entwicklung des Lernortes ‚Praxis‘ beteiligt",Umfangreiche Erfahrung in der Anleitung von Auszubildenden im pflegerischen Bereich,5,,https://josef.softgarden.io/job/64474538/Praxisanleiter-w-m-d-%E2%80%93-Teilzeit-freigestellt-?jobDbPVId=271629643&l=de
Krankenhaus St. Josef,Schweinfurt,Allgemeinstation und Intensivstation,Praxisanleiter (w/m/d) – Teilzeit (freigestellt),fachweiterbildung,,,nein,,"Teilzeit (freigestellt), Unbefristeter Vertrag",Ausbildung zur/m Gesundheits- und Krankenpfleger/In mit Weiterbildung zum/zur Praxisanleiter/in oder Studium Pflege/Pflegepädagogik,Umfangreiche Erfahrung in der Anleitung von Auszubildenden,3,Zuordnung aus dem vorherigen Lauf übernommen; keine Belegzitate,https://josef.softgarden.io/job/64474538
Krankenhaus Vilshofen,Vilshofen,Akutgeriatrie,Pflegefachkraft (m/w/d) Akutgeriatrie,pflegefachkraft,,Die Eingruppierung erfolgt nach tariflichen Vorgaben entsprechend der vorhandenen Ausbildung in EG P 7 TVöD,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig","Abgeschlossene dreijährige Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d), Altenpfleger (m/w/d), Pflegefachmann/-frau | Vollständiger Masernschutz",Wünschenswert: Erfahrungen auf einer internistischen oder geriatrischen Station/ Abteilung,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/pflegefachkraft-mwd-akutgeriatrie/
Krankenhaus Wegscheid,Wegscheid,Innere Medizin,Pflegefachkraft (m/w/d) - Innere Medizin,pflegefachkraft,,Die Eingruppierung erfolgt unter Vorliegen der tariflichen Voraussetzungen in P 7 TVöD; Vergütung nach TVöD,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"1,0 VK = 38,5 WStd.; grundsätzlich teilzeitfähig","Abgeschlossene dreijährige Ausbildung zum Gesundheits- und Krankenpfleger, Altenpfleger oder Pflegefachmann/-frau | Vollständiger Masernschutz",Wünschenswert: Erfahrungen auf einer internistischen Station/ Abteilung,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/pflegefachkraft-mwd---innere-medizin/
Krankenhaus Wegscheid,Wegscheid,,Pflegefachkräfte (m/w/d) für die bettenführenden Bereiche,pflegefachkraft,,"Die Eingruppierung erfolgt nach tariflichen Vorgaben entsprechend der vorhandenen Ausbildung in P 7 TVÖD, P 8 TVöD, bzw. P 9 TVöD bei Vorliegen einer abgeschlossenen Fachweiterbildung in dem jeweiligen Bereich.",ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig","Abgeschlossene dreijährige Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d), Altenpfleger (m/w/d) oder Pflegefachmann/-frau | Vollständiger Masernschutz",Wünschenswert: Erfahrungen auf einer internistischen oder chirurgischen Station,4,"Klinik nach Anzeigenort korrigiert · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/pflegefachkr%C3%A4fte-mwd-f%C3%BCr-die-bettenf%C3%BChrenden-bereiche/
Krankenhaus Wegscheid,Wegscheid,bettenführende Bereiche,Pflegefachkräfte (m/w/d) für die bettenführenden Bereiche,pflegefachkraft,,,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"1,0 VK = 38,5 WStd.; grundsätzlich teilzeitfähig","Abgeschlossene dreijährige Ausbildung zum Gesundheits- und Krankenpfleger, Altenpfleger oder Pflegefachmann/-frau | Masernschutz",Wünschenswert: Erfahrungen auf einer internistischen oder chirurgischen Station,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_text auf der Seite nicht gefunden, geleert · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/pflegefachkräfte-mwd-für-die-bettenführenden-bereiche/
Krankenhaus Weilheim-Schongau,Weilheim in Oberbayern,AOZ im Medizinischen Zentrum SOGESUND (Standort Schongau),Gesundheits- und Krankenpfleger/ Operations-Technischen-Assistent (w/m/d),ota_ata,,Vergütung nach Manteltarif MFA,unklar,,Teilzeit (16 – 24 Std.),Abschluss als staatlich examinierte Gesundheits- und Krankenpflegerin | erfolgreich abgeschlossene Ausbildung zur OTA,Mehrjährige Berufserfahrung; auch im Bereich der OP-Pflege/Assistenz,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://www.meinkrankenhaus2030.de/stellenanzeige-gesundheits-und-krankenpfleger/-operations-technischen-assistent-w/m/d
Krankenhaus Weilheim-Schongau,Weilheim in Oberbayern,OP-Abteilung,Operations-Technischen-Assistent / OP-Pflegefachkräfte (w/m/d) in Vollzeit/Teilzeit,ota_ata,,Vergütung nach der geltenden EGO des TVöD-K/VKA,unklar,,Vollzeit/Teilzeit,erfolgreich abgeschlossene Ausbildung zur GKP oder OTA | Bereitschaft zum Schicht-/Bereitschaftsdienst,Mehrjährige Berufserfahrung; auch im Bereich der OP-Pflege/Assistenz,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://www.meinkrankenhaus2030.de/stellenanzeige-operations-technischen-assistent-w/m/d-in-vollzeit
"Krankenhaus für Psychiatrie, Psychotherapie und Psychosomatische Medizin Schloss Werneck",Werneck,,Pflegefachkraft (m/w/d),pflegefachkraft,,"Diese beinhalten neben einer attraktiven Vergütung nach TVöD auch eine Jahressonderzahlung „Weihnachtsgeld“, betriebliche Altersvorsorge und die Möglichkeit zur Entgeltumwandlung.",unklar,,vollzeit_teilzeit,"Sie sichern in kooperativer Zusammenarbeit mit allen Berufsgruppen die qualitative pflegerische Versorgung unserer Patienten. | Sie sind für die fachgerechte Erfassung der Patientenbedürfnisse sowie der fachgerechten Ausführung der medizinischen Anordnungen der &Auml;rzte verantwortlich. | Sie haben eine abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) Gesundheits&ndash; und Krankenpfleger/in (m/w/d) | Altenpfleger/in (m/w/d) Krankenschwester/ -pfleger (m/w/d) | Für Sie stehen die Bedürfnisse des Patienten im Vordergrund. | Sie möchten sich durch Ihre strukturierte und selbstständige Arbeitsweise aktiv in die Mitgestaltung von Arbeitsabläufen einbringen. | Sie legen Wert auf ein Team, das sich berufsgruppenübergreifend unterstützt. | Ihre gute Kontakt&ndash; und Kommunikationsfähigkeit, Teamfähigkeit und Empathie runden Ihr Profil ab.",,4,Ort der Stelle nicht belegt,https://www.psychiatrie-werneck.de/karriere/stellenangebote/index.html?detID=2175
"Krankenhaus für Psychiatrie, Psychotherapie und Psychosomatische Medizin Schloss Werneck",Werneck,Station G1 (beschützt geführte Station mit Schwerpunkt Gerontopsychiatrie),Pflegefachkraft (m/w/d) G1,pflegefachkraft,P8,"Diese beinhalten neben einer attraktiven Vergütung nach EG P8 TVöD auch eine Jahressonderzahlung „Weihnachtsgeld“, betriebliche Altersvorsorge und die Möglichkeit zur Entgeltumwandlung.",unklar,,vollzeit_teilzeit,"Sie sichern in kooperativer Zusammenarbeit mit allen Berufsgruppen die qualitative pflegerische Versorgung unserer Patienten. | Sie sind für die fachgerechte Erfassung der Patientenbedürfnisse sowie der fachgerechten Ausführung der medizinischen Anordnungen der &Auml;rzte verantwortlich. | Sie haben eine abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) Gesundheits&ndash; und Krankenpfleger/in (m/w/d) | Altenpfleger/in (m/w/d) Krankenschwester/ -pfleger (m/w/d) | Für Sie stehen die Bedürfnisse des Patienten im Vordergrund. | Sie möchten sich durch Ihre strukturierte und selbstständige Arbeitsweise aktiv in die Mitgestaltung von Arbeitsabläufen einbringen. | Sie legen Wert auf ein Team, das sich berufsgruppenübergreifend unterstützt. | Ihre gute Kontakt&ndash; und Kommunikationsfähigkeit, Teamfähigkeit und Empathie runden Ihr Profil ab.",,4,Ort der Stelle nicht belegt,https://www.psychiatrie-werneck.de/karriere/stellenangebote/index.html?detID=2206
Kreisklinik Bad Reichenhall,Bad Reichenhall,Pneumologie,Gesundheits- und Krankenpfleger (w/m/d) Pneumologie,pflegefachkraft,,Eingruppierung nach TVöD sowie überdurchschnittliche betriebliche Altersvorsorge,unklar,,Vollzeit,"Abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege, Altenpflege und/oder abgeschlossenes Bachelorstudium Pflege | Bereitschaft 3-Schicht-Dienst",,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.kliniken-suedostbayern.de/Gesundheits-und-Krankenpfleger-wmd-Pneumologie-de-j1253.html
Kreisklinik Ebersberg,Ebersberg,Intensivstation und IMC,Pflegefachkraft (w/m/d) für die Intensivstation und IMC,fachweiterbildung,,Vergütung nach TVöD-K,,,,"Abgeschlossene Ausbildung als Pflegefachmann/frau, Gesundheits- und Krankenpfleger/in, Krankenschwester/pfleger | Idealerweise abgeschlossene Fachweiterbildung Anästhesie und Intensivpflege | Bereitschaft zur Teilnahme an Fort- und Weiterbildung im Fachgebiet | Selbstständiges engagiertes Arbeiten",,5,,https://jobs.klinik-ebe.de/Pflegefachkraft-wmd-fuer-die-Intensivstation-und-IMC-de-j79.html
